,Umap1,Umap2,label,G
166,2.7924466,6.695078,G,0
167,2.9781852,7.8976574,G,0
168,3.8803127,8.830281,G,0
169,6.1925845,8.7558155,G,0
170,5.8882995,9.415266,G,0
171,1.834895,7.099307,G,0
172,5.736817,10.857719,G,0
173,7.2684293,10.506939,G,0
174,5.646459,9.055174,G,0
175,4.865866,7.314118,G,0
176,4.6503396,9.507826,G,0
177,4.240776,9.848159,G,0
178,4.2799435,6.8097095,G,0
179,4.0695004,7.922288,G,0
180,4.978894,9.83195,G,0
181,0.76024705,5.256112,G,0
182,6.760773,9.26023,G,0
183,6.8418946,10.224436,G,0
184,7.1642413,9.5713825,G,0
185,2.2110994,6.6772313,G,0
186,3.2796392,6.2612476,G,0
187,5.8340836,9.608133,G,0
188,5.1758556,10.447213,G,0
189,7.1021495,10.605993,G,0
190,4.9587393,10.068714,G,0
191,2.1571128,5.996596,G,0
192,3.1937408,5.9898634,G,0
193,3.910034,8.900157,G,0
194,2.8408096,7.839202,G,0
195,5.477762,10.77269,G,0
196,5.7906265,10.798486,G,0
197,4.0509844,6.7620454,G,0
198,5.3134637,9.776779,G,0
199,6.3138256,9.915973,G,0
200,5.495652,9.232717,G,0
201,2.567304,7.511493,G,0
202,3.527383,7.3785076,G,0
203,6.3415356,8.406997,G,0
204,1.3966848,6.2641973,G,0
205,3.2006102,7.582777,G,0
206,-0.6292479,3.925617,G,0
207,4.163786,9.009387,G,0
208,3.9749367,8.621726,G,0
209,6.449042,9.539148,G,0
210,5.3579698,7.931437,G,0
211,4.592416,8.345529,G,0
212,2.242301,7.373124,G,0
213,6.9916534,9.549288,G,0
214,2.221375,5.5886283,G,0
215,4.3273606,8.9287615,G,0
216,0.95022,5.9935246,G,0
217,5.0335617,7.8203173,G,0
218,2.8377805,7.1990647,G,0
219,3.870658,8.967882,G,0
220,6.7625318,9.691166,G,0
221,2.7833176,7.1186185,G,0
222,7.1523786,10.481876,G,0
223,4.301379,9.820098,G,0
224,5.6121025,10.328299,G,0
225,2.3442233,5.8058167,G,0
226,4.337692,9.311749,G,0
227,2.8256335,7.7642264,G,0
228,3.196099,7.9752145,G,0
229,6.9603043,10.557135,G,0
230,4.4422345,7.375065,G,0
231,6.9844966,10.301906,G,0
232,6.8219514,9.774196,G,0
233,1.7331169,6.9768496,G,0
234,3.542348,6.6799674,G,0
235,4.7528,8.671392,G,0
236,5.8340697,8.747902,G,0
237,3.467422,6.6068716,G,0
238,3.87907,7.1356,G,0
239,6.679137,10.317187,G,0
240,6.3411775,8.375454,G,0
241,5.5445356,9.491513,G,0
242,2.7855024,6.2464037,G,0
243,5.4125247,10.890799,G,0
244,6.765246,10.308376,G,0
245,4.74748,7.0058527,G,0
246,7.390162,10.352694,G,0
247,2.775623,6.539322,G,0
248,5.4643073,8.756123,G,0
249,3.7726114,9.243873,G,0
250,3.6155589,8.725042,G,0
251,0.068495974,1.7317445,m7G,0
252,0.43167865,2.7983062,m7G,0
253,0.8118403,5.5322623,m7G,0
254,1.1987247,5.7387466,m7G,0
255,1.0597993,6.1317225,m7G,0
256,0.43649164,3.4769895,m7G,0
257,-0.24475369,2.3883574,m7G,0
258,0.018794548,1.6735101,m7G,0
259,0.76028186,5.130434,m7G,0
260,4.0085,6.1720896,m7G,0
261,2.7330408,5.9079866,m7G,0
262,4.052508,6.3577657,m7G,0
263,5.346072,8.979957,m7G,0
264,2.0066981,6.194644,m7G,0
265,1.374655,5.2898064,m7G,0
266,5.2551756,7.5744057,m7G,0
267,-0.5944226,3.8054383,m7G,0
268,0.98721886,4.1546264,m7G,0
269,2.9168808,5.818349,m7G,0
270,-0.6039562,3.9891999,m7G,0
271,0.4690812,2.8561757,m7G,0
272,-0.24449998,1.9562619,m7G,0
273,-0.0133340275,1.6045078,m7G,0
274,2.3531368,7.271111,m7G,0
275,1.0140306,5.6647644,m7G,0
276,1.4220103,6.3962636,m7G,0
277,-0.26831713,2.9918487,m7G,0
278,0.25838196,2.6386786,m7G,0
279,1.6982353,5.771293,m7G,0
280,4.5291305,7.733097,m7G,0
281,-0.49324358,4.0829234,m7G,0
282,-0.5390646,3.98747,m7G,0
283,-0.121256806,1.866261,m7G,0
284,-0.5540169,3.2156224,m7G,0
285,0.8146909,5.547534,m7G,0
286,0.5597375,3.2960005,m7G,0
287,-0.45383668,3.5129297,m7G,0
288,5.6653423,8.521714,m7G,0
289,2.329305,5.364972,m7G,0
290,1.2448106,5.5771847,m7G,0
291,-0.41484007,3.499046,m7G,0
292,2.1446586,7.506371,m7G,0
293,-0.5921555,3.4975429,m7G,0
294,-0.62524027,3.852013,m7G,0
295,5.3138814,10.870564,m7G,0
296,5.0571404,9.735992,m7G,0
297,-0.04841903,1.8924164,m7G,0
298,-0.3881687,4.108908,m7G,0
299,-0.23072755,2.214316,m7G,0
300,4.099641,6.297821,m7G,0
301,4.0259233,6.5947337,m7G,0
302,5.134781,10.840631,m7G,0
303,0.28355113,4.7084713,m7G,0
304,0.8436251,5.51188,m7G,0
305,-0.16581288,1.7368493,m7G,0
306,5.090898,10.629786,m7G,0
307,-0.5348222,3.838435,m7G,0
308,1.222523,5.863922,m7G,0
309,3.6344047,6.8971024,m7G,0
310,-0.29635003,2.7934217,m7G,0
311,-0.07785074,1.8310281,m7G,0
312,2.9860723,6.978667,m7G,0
313,4.3814116,6.7926083,m7G,0
314,3.7436728,6.8155518,m7G,0
315,1.4833657,6.466596,m7G,0
316,4.2466426,9.4112835,m7G,0
317,0.007195968,1.8672277,m7G,0
318,4.346427,6.811749,m7G,0
319,2.955155,6.281347,m7G,0
320,3.9643126,6.775539,m7G,0
321,2.506019,6.6362033,m7G,0
322,0.78011364,4.724172,m7G,0
323,1.792661,6.5529346,m7G,0
324,2.379812,7.0775175,m7G,0
325,3.1096215,6.163069,m7G,0
326,0.59277415,3.470211,m7G,0
327,0.953819,6.0016923,m7G,0
328,0.8756993,4.9376016,m7G,0
329,5.3122673,8.328883,m7G,0
330,3.6231897,7.1682043,m7G,0
331,0.6715462,5.3122835,m7G,0
332,1.3484269,5.5452366,m7G,0
333,0.76688254,3.788559,m7G,0
334,0.23111592,2.527023,m7G,0
335,1.8655578,5.261339,m7G,0
336,1.0938448,5.3790116,m7G,0
337,1.548048,5.7385077,m7G,0
338,-0.65760237,3.9850602,m7G,0
339,2.4032488,6.1291223,m7G,0
340,0.098789446,2.3398495,m7G,0
341,0.58739483,3.1044588,m7G,0
342,0.18121651,1.9520247,m7G,0
343,3.329521,7.913651,m7G,0
344,1.3155792,4.95109,m7G,0
345,-0.06620235,2.1930847,m7G,0
346,3.93755,6.21283,m7G,0
347,1.600562,6.390329,m7G,0
348,0.11705581,1.9124331,m7G,0
349,6.1090198,9.339297,m7G,0
350,5.62554,10.604051,m7G,0
351,-0.0243794,1.702928,m7G,0
352,0.013360263,1.605994,m7G,0
353,-0.33377483,3.3384974,m7G,0
354,2.4328036,5.4997573,m7G,0
355,-0.37985694,3.2183235,m7G,0
356,4.0808573,6.2279067,m7G,0
357,-0.15851569,2.17073,m7G,0
358,0.93463355,4.107318,m7G,0
359,5.2821903,10.816613,m7G,0
360,1.7172794,6.600002,m7G,0
361,0.8453136,4.1720653,m7G,0
362,2.6630044,5.61346,m7G,0
363,0.6907699,3.4000347,m7G,0
364,0.9514381,4.982197,m7G,0
365,3.782613,6.3537607,m7G,0
366,0.34472814,3.4337823,m7G,0
367,0.608877,3.6564124,m7G,0
368,1.8271904,5.1690145,m7G,0
369,-0.29936635,3.3721526,m7G,0
370,-0.5778325,3.9348376,m7G,0
371,0.6754196,5.0165386,m7G,0
