,x,variable,value,label
50500,0.0,101,0.8085,mod
50501,1.002004008016032,101,0.7816,mod
50502,2.004008016032064,101,0.7546,mod
50503,3.006012024048096,101,0.7276,mod
50504,4.008016032064128,101,0.7006,mod
50505,5.0100200400801596,101,0.6968,mod
50506,6.012024048096192,101,0.7164,mod
50507,7.014028056112224,101,0.7359,mod
50508,8.016032064128256,101,0.7555,mod
50509,9.018036072144287,101,0.775,mod
50510,10.020040080160319,101,0.6605,mod
50511,11.02204408817635,101,0.546,mod
50512,12.024048096192384,101,0.4315,mod
50513,13.026052104208416,101,0.317,mod
50514,14.028056112224448,101,0.3068,mod
50515,15.03006012024048,101,0.4008,mod
50516,16.03206412825651,101,0.4948,mod
50517,17.034068136272545,101,0.5888,mod
50518,18.036072144288575,101,0.6829,mod
50519,19.03807615230461,101,0.7043,mod
50520,20.040080160320638,101,0.7257,mod
50521,21.04208416833667,101,0.7471,mod
50522,22.0440881763527,101,0.7685,mod
50523,23.046092184368735,101,0.7369,mod
50524,24.04809619238477,101,0.6521,mod
50525,25.0501002004008,101,0.5674,mod
50526,26.052104208416832,101,0.4827,mod
50527,27.054108216432862,101,0.398,mod
50528,28.056112224448896,101,0.4436,mod
50529,29.058116232464926,101,0.4892,mod
50530,30.06012024048096,101,0.5348,mod
50531,31.06212424849699,101,0.5805,mod
50532,32.06412825651302,101,0.6033,mod
50533,33.06613226452905,101,0.6033,mod
50534,34.06813627254509,101,0.6033,mod
50535,35.07014028056112,101,0.6033,mod
50536,36.07214428857715,101,0.6033,mod
50537,37.07414829659318,101,0.6303,mod
50538,38.07615230460922,101,0.6573,mod
50539,39.07815631262525,101,0.6843,mod
50540,40.080160320641276,101,0.7113,mod
50541,41.08216432865731,101,0.7313,mod
50542,42.08416833667334,101,0.7443,mod
50543,43.08617234468937,101,0.7573,mod
50544,44.0881763527054,101,0.7704,mod
50545,45.09018036072144,101,0.7834,mod
50546,46.09218436873747,101,0.7834,mod
50547,47.0941883767535,101,0.7834,mod
50548,48.09619238476954,101,0.7834,mod
50549,49.09819639278557,101,0.7834,mod
50550,50.1002004008016,101,0.7792,mod
50551,51.10220440881763,101,0.7708,mod
50552,52.104208416833664,101,0.7625,mod
50553,53.106212424849694,101,0.7541,mod
50554,54.108216432865724,101,0.7457,mod
50555,55.110220440881754,101,0.7066,mod
50556,56.11222444889779,101,0.6675,mod
50557,57.11422845691382,101,0.6284,mod
50558,58.11623246492985,101,0.5893,mod
50559,59.11823647294589,101,0.5739,mod
50560,60.12024048096192,101,0.5823,mod
50561,61.12224448897795,101,0.5907,mod
50562,62.12424849699398,101,0.5991,mod
50563,63.126252505010015,101,0.6075,mod
50564,64.12825651302605,101,0.4836,mod
50565,65.13026052104208,101,0.3598,mod
50566,66.1322645290581,101,0.236,mod
50567,67.13426853707413,101,0.1122,mod
50568,68.13627254509018,101,0.1164,mod
50569,69.13827655310621,101,0.2486,mod
50570,70.14028056112224,101,0.3808,mod
50571,71.14228456913827,101,0.513,mod
50572,72.1442885771543,101,0.6452,mod
50573,73.14629258517033,101,0.6005,mod
50574,74.14829659318636,101,0.5558,mod
50575,75.1503006012024,101,0.5111,mod
50576,76.15230460921843,101,0.4664,mod
50577,77.15430861723446,101,0.4804,mod
50578,78.1563126252505,101,0.553,mod
50579,79.15831663326652,101,0.6256,mod
50580,80.16032064128255,101,0.6982,mod
50581,81.16232464929858,101,0.7708,mod
50582,82.16432865731463,101,0.7392,mod
50583,83.16633266533066,101,0.7075,mod
50584,84.16833667334669,101,0.6759,mod
50585,85.17034068136272,101,0.6442,mod
50586,86.17234468937875,101,0.5507,mod
50587,87.17434869739478,101,0.3952,mod
50588,88.1763527054108,101,0.2397,mod
50589,89.17835671342685,101,0.0843,mod
50590,90.18036072144288,101,-0.0712,mod
50591,91.18236472945891,101,0.0787,mod
50592,92.18436873747494,101,0.2286,mod
50593,93.18637274549097,101,0.3784,mod
50594,94.188376753507,101,0.5283,mod
50595,95.19038076152303,101,0.5991,mod
50596,96.19238476953907,101,0.5907,mod
50597,97.1943887775551,101,0.5823,mod
50598,98.19639278557113,101,0.5739,mod
50599,99.19839679358716,101,0.5656,mod
50600,100.2004008016032,101,-0.9217,mod
50601,101.20240480961922,101,-0.9184,mod
50602,102.20440881763525,101,-0.9151,mod
50603,103.20641282565128,101,-0.9118,mod
50604,104.20841683366733,101,-0.9114,mod
50605,105.21042084168336,101,-0.9235,mod
50606,106.21242484969939,101,-0.9356,mod
50607,107.21442885771542,101,-0.9477,mod
50608,108.21643286573145,101,-0.9531,mod
50609,109.21843687374748,101,-0.9476,mod
50610,110.22044088176351,101,-0.9421,mod
50611,111.22244488977955,101,-0.9366,mod
50612,112.22444889779558,101,-0.9374,mod
50613,113.22645290581161,101,-0.9429,mod
50614,114.22845691382764,101,-0.9484,mod
50615,115.23046092184367,101,-0.9539,mod
50616,116.2324649298597,101,-0.9289,mod
50617,117.23446893787573,101,-0.8948,mod
50618,118.23647294589178,101,-0.8607,mod
50619,119.2384769539078,101,-0.8266,mod
