,label,variable,value
249,m6A,0,20.0
250,m6A,0,82.0
251,m6A,0,28.0
252,m6A,0,36.0
253,m6A,0,27.0
254,m6A,0,26.0
255,m6A,0,29.0
256,m6A,0,18.0
257,m6A,0,32.0
258,m6A,0,30.0
259,m6A,0,31.0
260,m6A,0,46.0
261,m6A,0,10.0
262,m6A,0,23.0
263,m6A,0,16.0
264,m6A,0,24.0
265,m6A,0,18.0
266,m6A,0,23.0
267,m6A,0,12.0
268,m6A,0,6.0
269,m6A,0,26.0
270,m6A,0,34.0
271,m6A,0,26.0
272,m6A,0,14.0
273,m6A,0,49.0
274,m6A,0,13.0
275,m6A,0,43.0
276,m6A,0,27.0
277,m6A,0,30.0
278,m6A,0,18.0
279,m6A,0,27.0
280,m6A,0,50.0
281,m6A,0,6.0
282,m6A,0,43.0
283,m6A,0,48.0
284,m6A,0,15.0
285,m6A,0,12.0
286,m6A,0,15.0
287,m6A,0,24.0
288,m6A,0,29.0
289,m6A,0,88.0
290,m6A,0,27.0
291,m6A,0,78.0
292,m6A,0,23.0
293,m6A,0,43.0
294,m6A,0,32.0
295,m6A,0,42.0
296,m6A,0,31.0
297,m6A,0,42.0
298,m6A,0,17.0
299,m6A,0,14.0
300,m6A,0,2.0
301,m6A,0,62.0
302,m6A,0,16.0
