,quality,modification
0,15.05603448275862,unmod
1,16.36332179930796,unmod
2,18.539940828402365,unmod
3,18.8167115902965,unmod
4,19.390455531453362,unmod
5,20.01129943502825,unmod
6,14.022421524663677,unmod
7,19.978293413173652,unmod
8,14.990509059534084,unmod
9,18.889845094664373,unmod
10,21.094382022471912,unmod
11,17.100603621730386,unmod
12,20.10556079170594,unmod
13,16.563725490196077,unmod
14,12.931707317073169,unmod
15,20.604395604395606,unmod
16,17.695754716981135,unmod
17,18.554878048780488,unmod
18,21.89458128078818,unmod
19,19.22126436781609,unmod
20,15.382239382239383,unmod
21,19.87916975537435,unmod
22,8.59925093632959,unmod
23,16.306590257879655,unmod
24,19.651699029126213,unmod
25,19.265116279069765,unmod
26,19.446721311475407,unmod
27,15.72300469483568,unmod
28,21.491926803013996,unmod
29,12.438180019782394,unmod
30,16.724824355971897,unmod
31,19.843653250773997,unmod
32,15.68903803131991,unmod
33,18.397694524495677,unmod
34,17.88340807174888,unmod
35,19.551380368098158,unmod
36,17.4936170212766,unmod
37,18.70748299319728,unmod
38,18.894230769230766,unmod
39,19.655115511551152,unmod
40,18.179450072358897,unmod
41,10.464737793851718,unmod
42,21.3627546071775,unmod
43,17.414473684210527,unmod
44,20.840000000000003,unmod
45,18.475609756097562,unmod
46,19.571803852889666,unmod
47,16.582043343653254,unmod
48,20.25570776255708,unmod
49,18.058866813833703,unmod
50,20.092178770949722,unmod
51,9.528073916133614,unmod
52,14.877887788778878,unmod
53,14.521594684385384,unmod
54,20.92307692307692,unmod
55,15.973365617433416,unmod
56,20.345,unmod
57,18.784386617100374,unmod
58,16.361111111111114,unmod
59,21.08731808731809,unmod
60,18.372352285395763,unmod
61,16.489583333333336,unmod
62,15.637083993660859,unmod
63,18.433656957928804,unmod
64,17.622950819672134,unmod
65,13.94859813084112,unmod
66,17.364285714285714,unmod
67,17.772805507745268,unmod
68,21.2120822622108,unmod
69,18.901918976545844,unmod
70,18.681233933161955,unmod
71,15.349246231155782,unmod
72,17.047021943573668,unmod
73,16.99182242990654,unmod
74,14.204,unmod
75,9.96415770609319,unmod
76,14.729086229086228,unmod
77,19.64353312302839,unmod
78,20.19602977667494,unmod
79,11.905405405405403,unmod
80,16.46594982078853,unmod
81,14.455095862764885,unmod
82,19.961715160796324,unmod
83,20.129716981132077,unmod
84,17.93796526054591,unmod
85,17.868119266055047,unmod
86,19.2241935483871,unmod
87,17.757709251101325,unmod
88,13.669565217391302,unmod
89,16.96666666666667,unmod
90,18.623550401427295,unmod
91,14.870824053452118,unmod
92,23.409909909909906,unmod
93,19.43385070214339,unmod
94,11.188596491228068,unmod
95,13.954999999999998,unmod
96,15.86776859504132,unmod
97,16.65416666666667,unmod
98,21.09105058365759,unmod
99,18.174999999999997,unmod
100,19.46100386100386,unmod
101,12.878531073446325,unmod
102,10.968858131487892,unmod
103,16.15397631133672,unmod
104,16.936708860759495,unmod
105,21.654320987654323,unmod
106,16.022770398481974,unmod
107,17.673809523809524,unmod
108,19.158836689038033,unmod
109,20.78747203579418,unmod
110,19.32228360957643,unmod
111,18.778301886792455,unmod
112,11.667630057803471,unmod
113,18.164502164502167,unmod
114,17.929577464788736,unmod
115,17.03125,unmod
116,19.830917874396135,unmod
117,18.81627906976744,unmod
118,15.581018518518519,unmod
119,20.14754098360656,unmod
120,16.197424892703864,unmod
121,19.95108077360637,unmod
122,17.103896103896105,unmod
123,17.972067039106143,unmod
124,14.962848297213625,unmod
125,20.063524590163937,unmod
