,precision,recall,normalization
104,0.5369198312236287,1.0,MMAD AUC 0.99
105,0.5372031662269129,1.0,MMAD AUC 0.99
106,0.5374868004223865,1.0,MMAD AUC 0.99
107,0.537770734284205,1.0,MMAD AUC 0.99
108,0.5380549682875264,1.0,MMAD AUC 0.99
109,0.5383395029085141,1.0,MMAD AUC 0.99
110,0.5386243386243387,1.0,MMAD AUC 0.99
111,0.5389094759131816,1.0,MMAD AUC 0.99
112,0.5391949152542372,1.0,MMAD AUC 0.99
113,0.539480657127716,1.0,MMAD AUC 0.99
114,0.5397667020148462,1.0,MMAD AUC 0.99
115,0.540053050397878,1.0,MMAD AUC 0.99
116,0.5403397027600849,1.0,MMAD AUC 0.99
117,0.5406266595857674,1.0,MMAD AUC 0.99
118,0.5409139213602551,1.0,MMAD AUC 0.99
119,0.5412014885699096,1.0,MMAD AUC 0.99
120,0.5414893617021277,1.0,MMAD AUC 0.99
121,0.5417775412453433,1.0,MMAD AUC 0.99
122,0.5420660276890309,1.0,MMAD AUC 0.99
123,0.5423548215237081,1.0,MMAD AUC 0.99
124,0.5426439232409381,1.0,MMAD AUC 0.99
125,0.5429333333333334,1.0,MMAD AUC 0.99
126,0.5432230522945571,1.0,MMAD AUC 0.99
127,0.5435130806193272,1.0,MMAD AUC 0.99
128,0.5438034188034188,1.0,MMAD AUC 0.99
129,0.5440940673436665,1.0,MMAD AUC 0.99
130,0.544385026737968,1.0,MMAD AUC 0.99
131,0.5446762974852862,1.0,MMAD AUC 0.99
132,0.5449678800856531,1.0,MMAD AUC 0.99
133,0.5452597750401714,1.0,MMAD AUC 0.99
134,0.5455519828510182,1.0,MMAD AUC 0.99
135,0.5458445040214477,1.0,MMAD AUC 0.99
136,0.546137339055794,1.0,MMAD AUC 0.99
137,0.546430488459474,1.0,MMAD AUC 0.99
138,0.5467239527389903,1.0,MMAD AUC 0.99
139,0.5470177324019344,1.0,MMAD AUC 0.99
140,0.5473118279569893,1.0,MMAD AUC 0.99
141,0.5476062399139322,1.0,MMAD AUC 0.99
142,0.5479009687836384,1.0,MMAD AUC 0.99
143,0.5481960150780829,1.0,MMAD AUC 0.99
144,0.5484913793103449,1.0,MMAD AUC 0.99
145,0.5487870619946091,1.0,MMAD AUC 0.99
146,0.5490830636461704,1.0,MMAD AUC 0.99
147,0.5493793847814356,1.0,MMAD AUC 0.99
148,0.5496760259179265,1.0,MMAD AUC 0.99
149,0.5499729875742841,1.0,MMAD AUC 0.99
150,0.5502702702702703,1.0,MMAD AUC 0.99
151,0.5505678745267713,1.0,MMAD AUC 0.99
152,0.5508658008658008,1.0,MMAD AUC 0.99
153,0.5511640498105035,1.0,MMAD AUC 0.99
154,0.551462621885157,1.0,MMAD AUC 0.99
155,0.5517615176151761,1.0,MMAD AUC 0.99
156,0.5520607375271149,1.0,MMAD AUC 0.99
157,0.5523602821486706,1.0,MMAD AUC 0.99
158,0.5526601520086862,1.0,MMAD AUC 0.99
159,0.5529603476371537,1.0,MMAD AUC 0.99
160,0.5532608695652174,1.0,MMAD AUC 0.99
161,0.5535617183251768,1.0,MMAD AUC 0.99
162,0.5538628944504896,1.0,MMAD AUC 0.99
163,0.5541643984757757,1.0,MMAD AUC 0.99
164,0.5544662309368191,1.0,MMAD AUC 0.99
165,0.5547683923705722,1.0,MMAD AUC 0.99
166,0.5550708833151581,1.0,MMAD AUC 0.99
167,0.5553737043098745,1.0,MMAD AUC 0.99
168,0.5556768558951966,1.0,MMAD AUC 0.99
169,0.55598033861278,1.0,MMAD AUC 0.99
170,0.5562841530054645,1.0,MMAD AUC 0.99
171,0.5565882996172772,1.0,MMAD AUC 0.99
172,0.5568927789934355,1.0,MMAD AUC 0.99
173,0.5571975916803503,1.0,MMAD AUC 0.99
174,0.5575027382256298,1.0,MMAD AUC 0.99
175,0.5578082191780822,1.0,MMAD AUC 0.99
176,0.5581140350877193,1.0,MMAD AUC 0.99
177,0.5584201865057598,1.0,MMAD AUC 0.99
178,0.5587266739846323,1.0,MMAD AUC 0.99
179,0.5590334980779791,1.0,MMAD AUC 0.99
180,0.5593406593406594,1.0,MMAD AUC 0.99
181,0.559648158328752,1.0,MMAD AUC 0.99
