,label,variable,value
100,C,0,32.0
101,m5C,0,13.0
102,m5C,0,12.0
103,m5C,0,10.0
104,m5C,0,15.0
105,m5C,0,0.0
106,m5C,0,9.0
107,m5C,0,11.0
108,m5C,0,7.0
109,m5C,0,20.0
110,m5C,0,11.0
111,m5C,0,26.0
112,m5C,0,26.0
113,m5C,0,12.0
114,m5C,0,2.0
115,m5C,0,13.0
116,m5C,0,3.0
117,m5C,0,17.0
118,m5C,0,17.0
119,m5C,0,23.0
120,m5C,0,18.0
121,m5C,0,6.0
122,m5C,0,4.0
123,m5C,0,19.0
124,m5C,0,14.0
125,m5C,0,2.0
126,m5C,0,0.0
127,m5C,0,7.0
128,m5C,0,14.0
129,m5C,0,6.0
130,m5C,0,13.0
131,m5C,0,12.0
132,m5C,0,0.0
133,m5C,0,3.0
134,m5C,0,17.0
135,m5C,0,10.0
136,m5C,0,4.0
137,m5C,0,26.0
138,m5C,0,18.0
139,m5C,0,12.0
140,m5C,0,19.0
141,m5C,0,20.0
142,m5C,0,13.0
143,m5C,0,19.0
144,m5C,0,0.0
145,m5C,0,20.0
146,m5C,0,28.0
147,m5C,0,15.0
148,m5C,0,17.0
149,m5C,0,21.0
150,m5C,0,13.0
151,m5C,0,9.0
152,m5C,0,10.0
153,m5C,0,13.0
154,m5C,0,22.0
155,m5C,0,29.0
156,m5C,0,13.0
157,m5C,0,23.0
158,m5C,0,6.0
159,m5C,0,10.0
160,m5C,0,10.0
161,m5C,0,31.0
162,m5C,0,10.0
163,m5C,0,0.0
164,m5C,0,0.0
165,m5C,0,8.0
166,m5C,0,10.0
167,m5C,0,6.0
168,m5C,0,9.0
169,m5C,0,24.0
170,m5C,0,9.0
171,m5C,0,8.0
172,m5C,0,17.0
173,m5C,0,8.0
174,m5C,0,9.0
175,m5C,0,10.0
176,m5C,0,12.0
177,m5C,0,17.0
178,m5C,0,11.0
179,m5C,0,8.0
180,m5C,0,9.0
181,m5C,0,17.0
182,m5C,0,13.0
183,m5C,0,22.0
184,m5C,0,4.0
185,m5C,0,14.0
186,m5C,0,0.0
187,m5C,0,8.0
188,m5C,0,22.0
189,m5C,0,2.0
190,m5C,0,10.0
191,m5C,0,19.0
192,m5C,0,15.0
193,m5C,0,14.0
194,m5C,0,16.0
195,m5C,0,16.0
196,m5C,0,7.0
197,m5C,0,32.0
198,m5C,0,11.0
199,m5C,0,15.0
200,m5C,0,14.0
201,m5C,0,18.0
202,hm5C,0,16.0
203,hm5C,0,6.0
204,hm5C,0,16.0
205,hm5C,0,14.0
206,hm5C,0,36.0
207,hm5C,0,25.0
208,hm5C,0,12.0
209,hm5C,0,11.0
210,hm5C,0,17.0
211,hm5C,0,23.0
212,hm5C,0,23.0
213,hm5C,0,24.0
214,hm5C,0,2.0
215,hm5C,0,23.0
216,hm5C,0,11.0
217,hm5C,0,24.0
218,hm5C,0,11.0
219,hm5C,0,21.0
220,hm5C,0,10.0
221,hm5C,0,20.0
222,hm5C,0,24.0
223,hm5C,0,22.0
224,hm5C,0,13.0
225,hm5C,0,11.0
226,hm5C,0,25.0
227,hm5C,0,24.0
228,hm5C,0,23.0
229,hm5C,0,30.0
230,hm5C,0,5.0
231,hm5C,0,16.0
232,hm5C,0,9.0
233,hm5C,0,20.0
234,hm5C,0,27.0
235,hm5C,0,18.0
236,hm5C,0,19.0
237,hm5C,0,8.0
238,hm5C,0,26.0
239,hm5C,0,18.0
240,hm5C,0,0.0
241,hm5C,0,25.0
242,hm5C,0,23.0
243,hm5C,0,25.0
244,hm5C,0,25.0
245,hm5C,0,3.0
246,hm5C,0,26.0
247,hm5C,0,25.0
248,hm5C,0,16.0
249,hm5C,0,22.0
250,hm5C,0,28.0
251,hm5C,0,9.0
252,hm5C,0,11.0
253,hm5C,0,5.0
254,hm5C,0,14.0
255,hm5C,0,14.0
256,hm5C,0,32.0
257,hm5C,0,27.0
258,hm5C,0,26.0
259,hm5C,0,8.0
260,hm5C,0,15.0
261,hm5C,0,4.0
262,hm5C,0,30.0
263,hm5C,0,8.0
264,hm5C,0,25.0
265,hm5C,0,3.0
266,hm5C,0,28.0
267,hm5C,0,9.0
