,fpr,tpr,normalization
0,0.0,0.0,MMAD AUC 0.99
1,0.0,0.0019646365422396855,MMAD AUC 0.99
2,0.0,0.005893909626719057,MMAD AUC 0.99
3,0.0,0.012770137524557957,MMAD AUC 0.99
4,0.0,0.018664047151277015,MMAD AUC 0.99
5,0.0,0.021611001964636542,MMAD AUC 0.99
6,0.0,0.022593320235756387,MMAD AUC 0.99
7,0.0,0.026522593320235755,MMAD AUC 0.99
8,0.0,0.02848722986247544,MMAD AUC 0.99
9,0.0,0.030451866404715127,MMAD AUC 0.99
10,0.0,0.03241650294695481,MMAD AUC 0.99
11,0.0,0.0343811394891945,MMAD AUC 0.99
12,0.0,0.036345776031434185,MMAD AUC 0.99
13,0.0,0.03929273084479371,MMAD AUC 0.99
14,0.0,0.043222003929273084,MMAD AUC 0.99
15,0.0,0.04420432220039293,MMAD AUC 0.99
16,0.0,0.04616895874263261,MMAD AUC 0.99
17,0.0,0.0481335952848723,MMAD AUC 0.99
18,0.0,0.05009823182711198,MMAD AUC 0.99
19,0.0,0.05304518664047151,MMAD AUC 0.99
20,0.0,0.0550098231827112,MMAD AUC 0.99
21,0.0,0.055992141453831044,MMAD AUC 0.99
22,0.0,0.05795677799607073,MMAD AUC 0.99
23,0.0,0.06581532416502947,MMAD AUC 0.99
24,0.0,0.06777996070726916,MMAD AUC 0.99
25,0.0,0.0756385068762279,MMAD AUC 0.99
26,0.0,0.07760314341846758,MMAD AUC 0.99
27,0.0,0.10805500982318271,MMAD AUC 0.99
28,0.0,0.1100196463654224,MMAD AUC 0.99
29,0.0,0.14243614931237722,MMAD AUC 0.99
30,0.0,0.1444007858546169,MMAD AUC 0.99
31,0.0,0.15717092337917485,MMAD AUC 0.99
32,0.0,0.15913555992141454,MMAD AUC 0.99
33,0.0,0.16404715127701375,MMAD AUC 0.99
34,0.0,0.16601178781925344,MMAD AUC 0.99
35,0.0,0.16994106090373282,MMAD AUC 0.99
36,0.0,0.1719056974459725,MMAD AUC 0.99
37,0.0,0.2082514734774067,MMAD AUC 0.99
38,0.0,0.21021611001964635,MMAD AUC 0.99
39,0.0,0.25245579567779963,MMAD AUC 0.99
40,0.0,0.2544204322200393,MMAD AUC 0.99
41,0.0,0.2593320235756385,MMAD AUC 0.99
42,0.0,0.26129666011787817,MMAD AUC 0.99
43,0.0,0.26227897838899805,MMAD AUC 0.99
44,0.0,0.2642436149312377,MMAD AUC 0.99
45,0.0,0.6777996070726916,MMAD AUC 0.99
46,0.0010183299389002036,0.6777996070726916,MMAD AUC 0.99
47,0.0010183299389002036,0.7445972495088409,MMAD AUC 0.99
48,0.002036659877800407,0.7445972495088409,MMAD AUC 0.99
49,0.002036659877800407,0.7711198428290766,MMAD AUC 0.99
50,0.003054989816700611,0.7711198428290766,MMAD AUC 0.99
51,0.003054989816700611,0.7897838899803536,MMAD AUC 0.99
52,0.004073319755600814,0.7897838899803536,MMAD AUC 0.99
53,0.004073319755600814,0.8113948919449901,MMAD AUC 0.99
54,0.0050916496945010185,0.8113948919449901,MMAD AUC 0.99
55,0.0050916496945010185,0.8280943025540275,MMAD AUC 0.99
56,0.006109979633401222,0.8280943025540275,MMAD AUC 0.99
57,0.006109979633401222,0.8654223968565815,MMAD AUC 0.99
58,0.007128309572301426,0.8654223968565815,MMAD AUC 0.99
59,0.007128309572301426,0.8831041257367387,MMAD AUC 0.99
60,0.008146639511201629,0.8831041257367387,MMAD AUC 0.99
61,0.008146639511201629,0.888015717092338,MMAD AUC 0.99
62,0.009164969450101833,0.888015717092338,MMAD AUC 0.99
63,0.009164969450101833,0.8889980353634578,MMAD AUC 0.99
64,0.010183299389002037,0.8889980353634578,MMAD AUC 0.99
65,0.010183299389002037,0.8939096267190569,MMAD AUC 0.99
66,0.01120162932790224,0.8939096267190569,MMAD AUC 0.99
67,0.01120162932790224,0.9017681728880157,MMAD AUC 0.99
68,0.014256619144602852,0.9017681728880157,MMAD AUC 0.99
69,0.014256619144602852,0.9047151277013753,MMAD AUC 0.99
70,0.015274949083503055,0.9047151277013753,MMAD AUC 0.99
71,0.015274949083503055,0.9086444007858546,MMAD AUC 0.99
72,0.016293279022403257,0.9086444007858546,MMAD AUC 0.99
73,0.016293279022403257,0.9106090373280943,MMAD AUC 0.99
74,0.017311608961303463,0.9106090373280943,MMAD AUC 0.99
75,0.017311608961303463,0.9145383104125737,MMAD AUC 0.99
76,0.018329938900203666,0.9145383104125737,MMAD AUC 0.99
77,0.018329938900203666,0.9194499017681729,MMAD AUC 0.99
78,0.019348268839103868,0.9194499017681729,MMAD AUC 0.99
79,0.019348268839103868,0.9204322200392927,MMAD AUC 0.99
80,0.020366598778004074,0.9204322200392927,MMAD AUC 0.99
81,0.020366598778004074,0.9214145383104125,MMAD AUC 0.99
82,0.021384928716904276,0.9214145383104125,MMAD AUC 0.99
83,0.021384928716904276,0.9233791748526523,MMAD AUC 0.99
