,Umap1,Umap2,label,A
0,7.8336234,11.167615,A,0
1,9.551794,9.48434,A,0
2,10.154172,9.962623,A,0
3,5.879771,13.300282,A,0
4,8.781972,9.769937,A,0
5,8.059729,12.118938,A,0
6,8.90077,11.455632,A,0
7,10.610391,7.794919,A,0
8,11.395223,6.7104535,A,0
9,11.144066,8.856429,A,0
10,4.569983,11.890932,A,0
11,8.469259,10.433501,A,0
12,8.859767,10.881239,A,0
13,11.002061,7.903187,A,0
14,9.25946,11.578123,A,0
15,9.075164,10.210372,A,0
16,7.9733834,11.261021,A,0
17,8.01096,10.055467,A,0
18,5.4065895,13.392731,A,0
19,8.064536,11.748451,A,0
20,8.758957,9.703434,A,0
21,10.186417,10.277054,A,0
22,8.742188,11.79825,A,0
23,10.196322,9.108248,A,0
24,10.073542,10.011277,A,0
25,9.176728,10.81795,A,0
26,9.801888,9.9071665,A,0
27,8.5737705,11.50522,A,0
28,10.624141,8.160321,A,0
29,8.88354,9.73755,A,0
30,8.4865055,10.771593,A,0
31,8.693233,10.0089245,A,0
32,7.7551746,10.968548,A,0
33,9.464346,9.291441,A,0
34,8.053952,10.434777,A,0
35,9.430341,9.988176,A,0
36,9.904913,9.278842,A,0
37,9.142126,9.927159,A,0
38,8.956165,9.542513,A,0
39,5.0985556,13.329439,A,0
40,10.986054,9.154074,A,0
41,9.113679,10.69484,A,0
42,8.147625,10.842082,A,0
43,9.77916,10.519962,A,0
44,10.395064,10.27642,A,0
45,9.676804,10.281814,A,0
46,7.8123403,12.446331,A,0
47,9.176543,9.558646,A,0
48,10.905599,9.014037,A,0
49,10.744175,8.105493,A,0
50,12.007827,6.3627276,A,0
51,9.431523,10.557519,A,0
52,7.6956067,12.500541,A,0
53,9.687928,9.95346,A,0
54,9.061718,8.9549,A,0
55,10.864991,7.7530284,A,0
56,10.516494,10.364025,A,0
57,10.989763,7.3238983,A,0
58,7.3046327,10.986636,A,0
59,9.511712,10.131011,A,0
60,8.806405,10.49096,A,0
61,11.409738,4.9918866,A,0
62,10.567157,8.7254715,A,0
63,10.559967,8.253009,A,0
64,8.215884,10.82238,A,0
65,11.951,6.5220942,A,0
66,10.898903,8.16867,A,0
67,10.106461,7.95746,A,0
68,7.9957614,9.953932,A,0
69,9.549915,10.782509,A,0
70,10.257336,10.17318,A,0
71,7.2876997,12.276768,A,0
72,8.251117,10.316545,A,0
73,9.221625,9.45627,A,0
74,8.603009,10.008958,A,0
75,8.436618,10.380641,A,0
76,12.308476,4.881476,A,0
77,8.472352,10.931468,A,0
78,9.533254,10.569284,A,0
79,7.5331917,9.861996,A,0
80,9.650944,10.754072,A,0
81,8.502708,12.260239,A,0
82,10.224175,10.891401,A,0
83,9.216954,10.496494,A,0
84,8.910358,11.185592,A,0
85,8.946206,9.652345,A,0
86,8.9509945,10.826436,A,0
87,8.348965,11.611794,A,0
88,8.950176,10.334342,A,0
89,7.84847,11.940873,A,0
90,7.646491,11.718732,A,0
91,8.305104,12.140977,A,0
92,7.6697745,12.298659,A,0
93,10.27342,8.810049,A,0
94,8.708675,10.668613,A,0
95,8.277151,10.757277,A,0
96,9.627758,10.117862,A,0
97,7.741793,11.726917,A,0
98,8.042595,10.9591875,A,0
99,8.645099,10.0275135,A,0
100,8.350288,10.586846,A,0
101,11.235605,7.6000957,A,0
102,8.22644,11.042025,A,0
103,9.391804,9.295641,A,0
104,10.815129,7.717237,A,0
105,8.069002,11.232731,A,0
106,8.485321,11.295728,A,0
